"symbol","type","database"
"A1BG","predicted secreted protein","HPA"
"A1BG","predicted secreted protein","VerSeDa"
"A2M","growth_factors_&_receptors","Online resource"
"A2M","predicted secreted protein","HPA"
"A2M","predicted secreted protein","VerSeDa"
"A2M","growth_factors_&_receptors","GOMF"
"A2ML1","predicted secreted protein","HPA"
"A2ML1","predicted secreted protein","VerSeDa"
"AADACL2","predicted secreted protein","HPA"
"ABHD15","predicted secreted protein","HPA"
"ABHD2","hormones_&_receptors","Online resource"
"ABI3BP","predicted secreted protein","HPA"
"AC008687.1","predicted secreted protein","HPA"
"AC233755.1","predicted secreted protein","HPA"
"ACAN","predicted secreted protein","HPA"
"ACHE","predicted secreted protein","VerSeDa"
"ACKR2","cytokin/chemokine_&_receptors","REACTOME"
"ACKR3","cytokin/chemokine_&_receptors","Online resource"
"ACKR3","cytokin/chemokine_&_receptors","REACTOME"
"ACKR4","cytokin/chemokine_&_receptors","Online resource"
"ACKR4","cytokin/chemokine_&_receptors","REACTOME"
"ACP7","predicted secreted protein","HPA"
"ACR","predicted secreted protein","HPA"
"ACRBP","predicted secreted protein","HPA"
"ACRBP","predicted secreted protein","VerSeDa"
"ACRV1","predicted secreted protein","HPA"
"ACVR1","cytokin/chemokine_&_receptors","Online resource"
"ACVR1","growth_factors_&_receptors","Online resource"
"ACVR1","hormones_&_receptors","Online resource"
"ACVR1","growth_factors_&_receptors","GOMF"
"ACVR1","cytokin/chemokine_&_receptors","KEGG"
"ACVR1B","cytokin/chemokine_&_receptors","Online resource"
"ACVR1B","growth_factors_&_receptors","Online resource"
"ACVR1B","growth_factors_&_receptors","GOMF"
"ACVR1B","cytokin/chemokine_&_receptors","KEGG"
"ACVR1C","cytokin/chemokine_&_receptors","Online resource"
"ACVR1C","growth_factors_&_receptors","Online resource"
"ACVR1C","growth_factors_&_receptors","GOMF"
"ACVR2A","cytokin/chemokine_&_receptors","Online resource"
"ACVR2A","growth_factors_&_receptors","Online resource"
"ACVR2A","growth_factors_&_receptors","GOMF"
"ACVR2A","cytokin/chemokine_&_receptors","KEGG"
"ACVR2B","cytokin/chemokine_&_receptors","Online resource"
"ACVR2B","growth_factors_&_receptors","Online resource"
"ACVR2B","growth_factors_&_receptors","GOMF"
"ACVR2B","cytokin/chemokine_&_receptors","KEGG"
"ACVRL1","cytokin/chemokine_&_receptors","Online resource"
"ACVRL1","growth_factors_&_receptors","Online resource"
"ACVRL1","growth_factors_&_receptors","GOMF"
"ACVRL1","cytokin/chemokine_&_receptors","KEGG"
"ADA2","growth_factors_&_receptors","Online resource"
"ADA2","predicted secreted protein","HPA"
"ADA2","growth_factors_&_receptors","GOMF"
"ADA2","cytokin/chemokine_&_receptors","GSEA"
"ADAM12","predicted secreted protein","VerSeDa"
"ADAM17","growth_factors_&_receptors","Online resource"
"ADAM17","growth_factors_&_receptors","GOMF"
"ADAM17","hormones_&_receptors","REACTOME"
"ADAMDEC1","predicted secreted protein","HPA"
"ADAMTS1","predicted secreted protein","HPA"
"ADAMTS10","predicted secreted protein","HPA"
"ADAMTS12","predicted secreted protein","HPA"
"ADAMTS13","predicted secreted protein","HPA"
"ADAMTS14","predicted secreted protein","HPA"
"ADAMTS15","predicted secreted protein","HPA"
"ADAMTS16","predicted secreted protein","HPA"
"ADAMTS17","predicted secreted protein","HPA"
"ADAMTS18","predicted secreted protein","HPA"
"ADAMTS19","predicted secreted protein","HPA"
"ADAMTS2","predicted secreted protein","HPA"
"ADAMTS20","predicted secreted protein","HPA"
"ADAMTS3","predicted secreted protein","HPA"
"ADAMTS5","predicted secreted protein","HPA"
"ADAMTS5","predicted secreted protein","VerSeDa"
"ADAMTS6","predicted secreted protein","HPA"
"ADAMTS7","predicted secreted protein","HPA"
"ADAMTS8","predicted secreted protein","HPA"
"ADAMTS8","predicted secreted protein","VerSeDa"
"ADAMTS9","predicted secreted protein","HPA"
"ADAMTSL1","predicted secreted protein","HPA"
"ADAMTSL1","predicted secreted protein","VerSeDa"
"ADAMTSL2","predicted secreted protein","HPA"
"ADAMTSL2","predicted secreted protein","VerSeDa"
"ADAMTSL3","predicted secreted protein","HPA"
"ADAMTSL4","predicted secreted protein","HPA"
"ADAMTSL4","predicted secreted protein","VerSeDa"
"ADAMTSL5","predicted secreted protein","HPA"
"ADCK1","predicted secreted protein","HPA"
"ADCY1","cytokin/chemokine_&_receptors","WP"
"ADCY2","cytokin/chemokine_&_receptors","WP"
"ADCY3","cytokin/chemokine_&_receptors","WP"
"ADCY4","cytokin/chemokine_&_receptors","WP"
"ADCY5","cytokin/chemokine_&_receptors","WP"
"ADCY6","cytokin/chemokine_&_receptors","WP"
"ADCY7","cytokin/chemokine_&_receptors","WP"
"ADCY8","cytokin/chemokine_&_receptors","WP"
"ADCY9","cytokin/chemokine_&_receptors","WP"
"ADCYAP1","hormones_&_receptors","Online resource"
"ADCYAP1","predicted secreted protein","HPA"
"ADCYAP1R1","hormones_&_receptors","Online resource"
"ADIPOQ","hormones_&_receptors","Online resource"
"ADIPOQ","predicted secreted protein","HPA"
"ADIPOQ","cytokin/chemokine_&_receptors","GSEA"
"ADIPOR1","hormones_&_receptors","Online resource"
"ADIPOR2","hormones_&_receptors","Online resource"
"ADM","hormones_&_receptors","Online resource"
"ADM","predicted secreted protein","HPA"
"ADM","cytokin/chemokine_&_receptors","GSEA"
"ADM2","hormones_&_receptors","Online resource"
"ADM2","predicted secreted protein","HPA"
"ADM2","cytokin/chemokine_&_receptors","GSEA"
"ADM5","predicted secreted protein","HPA"
"ADM5","predicted secreted protein","VerSeDa"
"AEBP1","predicted secreted protein","HPA"
"AFM","predicted secreted protein","HPA"
"AFP","predicted secreted protein","HPA"
"AGER","predicted secreted protein","VerSeDa"
"AGGF1","predicted secreted protein","HPA"
"AGR2","growth_factors_&_receptors","Online resource"
"AGR2","growth_factors_&_receptors","GOMF"
"AGRN","predicted secreted protein","HPA"
"AGRP","hormones_&_receptors","Online resource"
"AGRP","predicted secreted protein","HPA"
"AGRP","cytokin/chemokine_&_receptors","GSEA"
"AGT","growth_factors_&_receptors","Online resource"
"AGT","hormones_&_receptors","Online resource"
"AGT","predicted secreted protein","HPA"
"AGT","growth_factors_&_receptors","GOMF"
"AGT","cytokin/chemokine_&_receptors","GSEA"
"AHSG","predicted secreted protein","HPA"
"AHSG","predicted secreted protein","VerSeDa"
"AIMP1","predicted secreted protein","HPA"
"AIMP1","cytokin/chemokine_&_receptors","GSEA"
"AKR1B10","predicted secreted protein","HPA"
"AKT1","cytokin/chemokine_&_receptors","WP"
"AKT2","cytokin/chemokine_&_receptors","WP"
"AKT3","cytokin/chemokine_&_receptors","WP"
"ALB","predicted secreted protein","HPA"
"ALB","predicted secreted protein","VerSeDa"
"ALDH1A1","hormones_&_receptors","Online resource"
"ALDH1A3","hormones_&_receptors","Online resource"
"ALKAL1","predicted secreted protein","HPA"
"ALKAL2","predicted secreted protein","HPA"
"AMBN","growth_factors_&_receptors","Online resource"
"AMBN","predicted secreted protein","HPA"
"AMBN","growth_factors_&_receptors","GOMF"
"AMBN","cytokin/chemokine_&_receptors","GSEA"
"AMBP","predicted secreted protein","HPA"
"AMBP","predicted secreted protein","VerSeDa"
"AMELX","growth_factors_&_receptors","Online resource"
"AMELX","predicted secreted protein","HPA"
"AMELX","predicted secreted protein","VerSeDa"
"AMELX","growth_factors_&_receptors","GOMF"
"AMELX","cytokin/chemokine_&_receptors","GSEA"
"AMELY","predicted secreted protein","HPA"
"AMELY","predicted secreted protein","VerSeDa"
"AMH","cytokin/chemokine_&_receptors","Online resource"
"AMH","hormones_&_receptors","Online resource"
"AMH","growth_factors_&_receptors","Online resource"
"AMH","predicted secreted protein","HPA"
"AMH","growth_factors_&_receptors","GOMF"
"AMH","cytokin/chemokine_&_receptors","KEGG"
"AMH","secreted protein","NABA"
"AMH","cytokin/chemokine_&_receptors","GSEA"
"AMHR2","cytokin/chemokine_&_receptors","Online resource"
"AMHR2","hormones_&_receptors","Online resource"
"AMHR2","cytokin/chemokine_&_receptors","KEGG"
"AMTN","predicted secreted protein","HPA"
"AMTN","predicted secreted protein","VerSeDa"
"AMY1A","predicted secreted protein","HPA"
"AMY1A","predicted secreted protein","VerSeDa"
"AMY1B","predicted secreted protein","HPA"
"AMY1B","predicted secreted protein","VerSeDa"
"AMY1C","predicted secreted protein","HPA"
"AMY1C","predicted secreted protein","VerSeDa"
"AMY2A","predicted secreted protein","HPA"
"AMY2A","predicted secreted protein","VerSeDa"
"AMY2B","predicted secreted protein","HPA"
"AMY2B","predicted secreted protein","VerSeDa"
"ANG","predicted secreted protein","HPA"
"ANG","predicted secreted protein","VerSeDa"
"ANGPT1","predicted secreted protein","HPA"
"ANGPT1","secreted protein","NABA"
"ANGPT2","predicted secreted protein","HPA"
"ANGPT2","secreted protein","NABA"
"ANGPT4","predicted secreted protein","HPA"
"ANGPT4","secreted protein","NABA"
"ANGPTL1","predicted secreted protein","HPA"
"ANGPTL1","secreted protein","NABA"
"ANGPTL2","predicted secreted protein","HPA"
"ANGPTL2","secreted protein","NABA"
"ANGPTL3","growth_factors_&_receptors","Online resource"
"ANGPTL3","predicted secreted protein","HPA"
"ANGPTL3","growth_factors_&_receptors","GOMF"
"ANGPTL3","secreted protein","NABA"
